player_id,In Player Stats File,team_id,season,league,player,age,team,position,games,games_started,minutes_played,per,ts_percent,three_attempt_rt,free_throw_rt,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,offensive_ws,defensive_ws,ws,ws_per48,offensive_bpm,defensive_bpm,bpm,vorp
breako01PHO2026,Koby Brea,PHO2026,2026,NBA,Koby Brea,23,PHO,SG,8,0,37,17.8,0.652,0.813,0.125,0,0.062,0.03,0.245,0,0,0,0.193,0.2,0,0.2,0.234,4.6,-1.5,3.1,0
bridgmi01NYK2026,Mikal Bridges,NYK2026,2026,NBA,Mikal Bridges,29,NYK,SF,76,76,2537,15.3,0.584,0.436,0.097,0.033,0.099,0.066,0.162,0.02,0.024,0.077,0.173,4.4,3.2,7.5,0.143,1.3,1.4,2.7,3
bridgmi02CHO2026,Miles Bridges,CHO2026,2026,NBA,Miles Bridges,27,CHO,PF,71,71,2222,15.7,0.563,0.429,0.244,0.035,0.171,0.105,0.157,0.01,0.013,0.086,0.224,3.4,2.3,5.7,0.124,1,-0.2,0.7,1.5
brookdi01PHO2026,Dillon Brooks,PHO2026,2026,NBA,Dillon Brooks,30,PHO,SF,51,51,1552,14.5,0.545,0.389,0.213,0.028,0.11,0.067,0.094,0.017,0.005,0.085,0.289,0.6,1.5,2.1,0.064,-0.8,-1.3,-2.2,-0.1
broomjo01PHI2026,Johni Broome,PHI2026,2026,NBA,Johni Broome,23,PHI,C,11,0,55,0.4,0.188,0.208,0.25,0.137,0.182,0.159,0.093,0.026,0.034,0.101,0.227,-0.3,0.1,-0.2,-0.215,-11.8,-4.4,-16.3,-0.2
brownbr01DEN2026,Bruce Brown,DEN2026,2026,NBA,Bruce Brown,29,DEN,SG,76,2,1855,10.5,0.56,0.285,0.237,0.051,0.121,0.088,0.11,0.02,0.009,0.135,0.143,1.1,1.6,2.6,0.068,-2.5,0,-2.5,-0.3
brownda04CLE2026,Darius Brown II,CLE2026,2026,NBA,Darius Brown II,26,CLE,SG,1,0,3,-7.7,0,0,0,0,0.367,0.183,0,0,0,0,0.14,0,0,0,-0.27,-16.3,-2.5,-18.8,0
brownja02BOS2026,Jaylen Brown,BOS2026,2026,NBA,Jaylen Brown,29,BOS,SF,66,66,2268,22.1,0.57,0.261,0.348,0.038,0.186,0.113,0.268,0.015,0.012,0.126,0.362,3.3,3.1,6.4,0.136,3.7,-0.1,3.6,3.2
brownko012TM2026,Kobe Brown,2TM2026,2026,NBA,Kobe Brown,26,2TM,PF,55,4,789,11.6,0.587,0.525,0.237,0.076,0.131,0.104,0.104,0.012,0.013,0.151,0.156,0.5,0.4,1,0.06,-1.5,-1.4,-2.9,-0.2
brownko01LAC2026,Kobe Brown,LAC2026,2026,NBA,Kobe Brown,26,LAC,PF,34,0,295,11.2,0.524,0.583,0.31,0.074,0.135,0.105,0.126,0.015,0.006,0.136,0.166,0.1,0.2,0.3,0.056,-1.2,-1.1,-2.3,0
brownko01IND2026,Kobe Brown,IND2026,2026,NBA,Kobe Brown,26,IND,PF,21,4,494,11.8,0.628,0.489,0.193,0.078,0.129,0.103,0.091,0.01,0.017,0.161,0.15,0.4,0.2,0.6,0.062,-1.7,-1.6,-3.3,-0.2
brunsja01NYK2026,Jalen Brunson,NYK2026,2026,NBA,Jalen Brunson,29,NYK,PG,70,70,2453,20,0.579,0.36,0.288,0.014,0.095,0.054,0.308,0.011,0.003,0.095,0.303,6.1,2.1,8.2,0.161,3.9,-1,2.9,3
bryanca01SAS2026,Carter Bryant,SAS2026,2026,NBA,Carter Bryant,20,SAS,PF,64,0,693,9.2,0.505,0.578,0.165,0.046,0.192,0.121,0.064,0.009,0.022,0.095,0.166,-0.1,1,0.9,0.063,-3.7,-0.1,-3.8,-0.3
bryanth01CLE2026,Thomas Bryant,CLE2026,2026,NBA,Thomas Bryant,28,CLE,C,58,0,691,17.2,0.619,0.492,0.258,0.091,0.215,0.153,0.063,0.013,0.034,0.089,0.191,1.3,0.9,2.2,0.15,0.7,-0.8,-0.1,0.3
bufkiko01LAL2026,Kobe Bufkin,LAL2026,2026,NBA,Kobe Bufkin,22,LAL,SG,13,1,94,4.7,0.393,0.537,0.195,0.013,0.097,0.056,0.071,0.01,0.03,0.082,0.225,-0.2,0.1,-0.2,-0.09,-7.7,-3.6,-11.3,-0.2
