team_id,season,league,team,abbreviation,playoffs,games,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss
OKC2026,2026,NBA,Oklahoma City Thunder,OKC,TRUE,76,18415,42.7,88.7,0.482,13.5,37.6,0.359,29.2,51.1,0.572,19.6,23.9,0.82,9.5,34.5,44,25.3,9.6,5.5,12.6,19.1,118.4
ORL2026,2026,NBA,Orlando Magic,ORL,FALSE,75,18150,40.7,87.9,0.463,11.8,34.2,0.344,28.9,53.8,0.538,21.7,27,0.806,10.8,32.2,43.1,26.2,8.4,4.7,13.9,20.9,115
PHI2026,2026,NBA,Philadelphia 76ers,PHI,FALSE,75,18200,41.4,89.9,0.461,12.4,35.5,0.35,29,54.4,0.534,20.2,24.9,0.81,11.7,31.5,43.2,24.6,9.1,5.7,13.6,20.4,115.5
PHO2026,2026,NBA,Phoenix Suns,PHO,FALSE,76,18315,42,92.5,0.454,15.3,42.2,0.362,26.8,50.3,0.532,16.3,20.9,0.781,13.4,30.9,44.2,25.6,10,4.2,14.8,21.4,115.6
POR2026,2026,NBA,Portland Trail Blazers,POR,FALSE,77,18530,40.4,89.1,0.453,14.2,41.6,0.34,26.2,47.5,0.552,19.3,25.2,0.764,14,31.7,45.7,24.8,8.1,5.4,17.2,19.8,114.1
SAC2026,2026,NBA,Sacramento Kings,SAC,FALSE,76,18315,41.6,89.3,0.466,10.2,30.1,0.34,31.3,59.2,0.529,17.6,22.7,0.774,11.3,30.8,42.1,25.7,8,4.4,14.2,19.7,111
SAS2026,2026,NBA,San Antonio Spurs,SAS,TRUE,75,18025,43.1,89.4,0.482,13.6,37.9,0.36,29.5,51.6,0.572,19.4,24.7,0.783,11.3,35.5,46.9,27.8,7.5,5.5,13.5,18.8,119.2
TOR2026,2026,NBA,Toronto Raptors,TOR,FALSE,75,18100,42.9,89.7,0.478,11.6,33.1,0.35,31.4,56.7,0.553,18,23.3,0.773,11.2,31.4,42.6,29.7,8.9,4.9,13.9,21.2,115.4
UTA2026,2026,NBA,Utah Jazz,UTA,FALSE,76,18390,41.1,88.1,0.466,12.5,35.9,0.347,28.6,52.2,0.548,19.7,24.9,0.792,11.6,30.9,42.5,28.7,8.5,3.7,15.2,21,114.3
WAS2026,2026,NBA,Washington Wizards,WAS,FALSE,75,18075,41,88.8,0.461,12.8,35.8,0.357,28.2,53,0.532,16,20.8,0.768,10.8,30.7,41.5,24.6,7.7,5.5,15.4,21.2,110.8
ATL2025,2025,NBA,Atlanta Hawks,ATL,TRUE,82,19780,42,89,0.472,13.1,36.5,0.358,29,52.5,0.552,17.4,22.5,0.775,11.5,31.6,43.1,28.7,9.4,5,15.1,18.5,114.6
